date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2024-11-12,12913361.999999998,-2442.914021871984,12910919.085978126,10000000.0,1.2910919085978125,0.29109190859781253,0.02542866163871919,-0.07954544931302021,1,4085.743,0.1915380197591361,-0.010986869649649456,-0.04002569302827319
2024-11-13,12777534.000000002,-2442.914021871984,12775091.08597813,10000000.0,1.277509108597813,0.27750910859781297,-0.010520397432241002,-0.0892289970045621,-1,4110.8901,0.19887174724436574,0.006154841359331531,-0.03411720345982794
2024-11-14,13388760.0,-2442.914021871984,13386317.085978128,10000000.0,1.3386317085978128,0.3386317085978128,0.04784513831536406,-0.04565303239262253,1,4039.6191,0.17808676243101518,-0.017337121223454655,-0.05086283059109431
2024-11-15,0.0,13888042.276088439,13888042.276088439,10000000.0,1.388804227608844,0.3888042276088439,0.03748045014082757,-0.009883678456164224,1,3968.8308,0.15744254892955034,-0.01752350859020335,-0.0674950439325126
2024-11-18,13253448.0,-2479.4115890022367,13250968.588410998,10000000.0,1.3250968588410998,0.32509685884109984,-0.04587210169818638,-0.055302395051057274,-1,3950.3806,0.15206185935309868,-0.004648774646679343,-0.071830049330182
2024-11-19,13453752.0,-2479.4115890022367,13451272.588410998,10000000.0,1.3451272588410998,0.34512725884109985,0.015116178010955474,-0.04102217788812568,1,3976.8912,0.1597932286111814,0.006710897679074179,-0.06560119576244539
2024-11-20,13565032.0,-2479.4115890022367,13562552.588410998,10000000.0,1.3562552588410999,0.3562552588410999,0.00827282320454007,-0.03308872390871931,1,3985.7727,0.1623833682559146,0.002233277088395047,-0.06351442432151788
2024-11-21,14922647.999999998,-2479.4115890022367,14920168.588410996,10000000.0,1.4920168588410996,0.4920168588410996,0.10010033075632532,0.0,1,3989.2979,0.1634114333660439,0.000884445819000268,-0.06268615356955509
2024-11-22,0.0,13515336.195201581,13515336.195201581,10000000.0,1.3515336195201582,0.35153361952015816,-0.09415660318346507,-0.09415660318346508,-1,3865.6989,0.12736587012229372,-0.030982644840837792,-0.09172661557790918
2024-11-25,13113672.0,-2243.915347188711,13111428.084652811,10000000.0,1.3111428084652812,0.3111428084652812,-0.029885169315445603,-0.12122788647060556,-1,3848.0909,0.12223079396798875,-0.0045549331325313025,-0.09586374011000964
